"id","site_name","lac_id","cell_name","cell_id","laccellid","antenna_direction","cell_beamspan","cell_beamrange","latitude","longitude","site_address","union_ward","thana","district","division","bts_type","operator","cell_type_2g_3g","createat","updateat"
"1","DHDHN92","108","0","DFQ4L","108DFQ4L","0","","1000","23.75400000","90.37500000","IBS_Roxy Paints","Ward No-49","Dhanmondi","Dhaka","Dhaka","DualBand","AIRTEL","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"2","GGKOT18","79","0","KGI2A","79KGI2A","0","","1000","22.99180000","90.37500000","Purbopara_Gacha","Amtali","Kotalipara","Gopalganj","Dhaka","DualBand","AIRTEL","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"3","GGKOT18","79","0","KGI2B","79KGI2B","115","","1000","22.99180000","90.37500000","Purbopara_Gacha","Amtali","Kotalipara","Gopalganj","Dhaka","DualBand","AIRTEL","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"4","GGKOT18","79","0","KGI2C","79KGI2C","270","","1000","22.99180000","90.37500000","Purbopara_Gacha","Amtali","Kotalipara","Gopalganj","Dhaka","DualBand","AIRTEL","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"5","DHBDD79","221","0","DFR1L","221DFR1L","0","","1000","23.81014900","90.37500000","Apollo Hospital_IBS_U","Bhatara","Badda","Dhaka","Dhaka","DualBand","ROBI","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"6","DHBDD79","221","0","DFR1U","221DFR1U","0","","1000","23.81014900","90.37500000","Apollo Hospital_IBS_U","Bhatara","Badda","Dhaka","Dhaka","DualBand","ROBI","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"7","GGKOT19","79","0","KGI3A","79KGI3A","90","","1000","23.11220000","90.37500000","Ramnagar_Kalabari","Kalabari","Kotalipara","Gopalganj","Dhaka","DualBand","ROBI","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"8","GGKOT19","79","0","KGI3B","79KGI3B","215","","1000","23.11220000","90.37500000","Ramnagar_Kalabari","Kalabari","Kotalipara","Gopalganj","Dhaka","DualBand","ROBI","2G","2018-04-29 23:07:45","2018-04-29 23:07:45"
"9","DHK_U0347","758","0","13467","75813467","0","","1000","23.77212","90.39034","Falcon Tower, Bijoy Shoroni, Tejgaon, Dhaka","Not Available","Tejgaon","Dhaka","Dhaka","Regular","BVANGLALINK","Not A","2018-04-29 23:07:45","2018-04-29 23:07:45"
"10","DHK_U0347","758","0","13468","75813468","120","","1000","23.77212","90.39034","Falcon Tower, Bijoy Shoroni, Tejgaon, Dhaka","Not Available","Tejgaon","Dhaka","Dhaka","Regular","BVANGLALINK","Not A","2018-04-29 23:07:45","2018-04-29 23:07:45"
