"id","site_name","lac_id","cell_name","cell_id","laccellid","antenna_direction","cell_beamspan","cell_beamrange","latitude","longitude","site_address","union_ward","thana","district","division","bts_type","operator","cell_type_2g_3g","createat","updateat"
"1","DHK_X1890","101","DHK_X1890_1","8891","1018891","0","120","1000","24.87601","90.72139","Anondo Bazar, Netrokona Sadar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"2","DHK_X1890","101","DHK_X1890_2","8892","1018892","160","120","1000","24.87601","90.72139","Anondo Bazar, Netrokona Sadar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"3","DHK_X1890","101","DHK_X1890_3","8893","1018893","250","120","1000","24.87601","90.72139","Anondo Bazar, Netrokona Sadar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"4","DHK_X0250","101","DHK_X0250_1","12491","10112491","0","120","1000","24.884988","90.732168","Syed Manson , Tere Bazar Road, Natrakuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"5","DHK_X0250","101","DHK_X0250_2","12492","10112492","110","120","1000","24.884988","90.732168","Syed Manson , Tere Bazar Road, Natrakuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"6","DHK_X0250","101","DHK_X0250_3","12493","10112493","260","120","1000","24.884988","90.732168","Syed Manson , Tere Bazar Road, Natrakuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"7","DHK_X0251","101","DHK_X0251_1","12501","10112501","350","120","1000","24.88715","90.72299","Amena Bhaban,Professor Para,Netrokuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"8","DHK_X0251","101","DHK_X0251_2","12502","10112502","110","120","1000","24.88715","90.72299","Amena Bhaban,Professor Para,Netrokuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"9","DHK_X0251","101","DHK_X0251_3","12503","10112503","270","120","1000","24.88715","90.72299","Amena Bhaban,Professor Para,Netrokuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"10","DHK_X0251","101","DHK_X0251_6","12506","10112506","300","120","1000","24.88715","90.72299","Amena Bhaban,Professor Para,Netrokuna","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"11","DHK_X2101","101","DHK_X2101_1","21001","10121001","10","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"12","DHK_X2101","101","DHK_X2101_2","21002","10121002","140","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"13","DHK_X2101","101","DHK_X2101_3","21003","10121003","270","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"14","DHK_X2101","101","DHK_X2101_4","21004","10121004","10","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"15","DHK_X2101","101","DHK_X2101_5","21005","10121005","140","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"16","DHK_X2101","101","DHK_X2101_6","21006","10121006","270","120","1000","24.84936","90.64365","Suruj Ali Fakir, Hironpur bazar, Netrokona","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"17","DHK_G2535","101","DHK_G2535_1","25341","10125341","320","120","1000","24.73123","90.6773","Pachar Bazar,Gauripur,Mymensingh","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
"18","DHK_G2535","101","DHK_G2535_2","25342","10125342","120","120","1000","24.73123","90.6773","Pachar Bazar,Gauripur,Mymensingh","Not Provided","Not Provided","Not Provided","Not Provided","Regular- 2G","BANGLALINK","Regular- 2G","2018-05-15 18:11:56","2018-05-15 18:11:56"
